Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=5
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 26 @ sec=2, msec=56
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=56
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 13 @ sec=2, msec=56
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 27 @ sec=2, msec=106
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=106
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 28 @ sec=2, msec=156
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=156
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 14 @ sec=2, msec=156
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 29 @ sec=2, msec=206
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=206
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 30 @ sec=2, msec=256
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=256
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 15 @ sec=2, msec=256
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 31 @ sec=2, msec=306
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=306
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 32 @ sec=2, msec=357
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=357
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 16 @ sec=2, msec=357
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 33 @ sec=2, msec=407
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=407
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 34 @ sec=2, msec=457
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=457
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 17 @ sec=2, msec=457
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 35 @ sec=2, msec=507
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=507
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 36 @ sec=2, msec=557
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=557
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 18 @ sec=2, msec=557
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 37 @ sec=2, msec=607
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=607
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 38 @ sec=2, msec=658
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=658
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 19 @ sec=2, msec=658
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 39 @ sec=2, msec=708
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=708
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 40 @ sec=2, msec=758
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=758
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 20 @ sec=2, msec=758
Aug  7 18:46:50 raspberrypi seqgen2: 1HZ W2 release 2 @ sec=2, msec=758
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 41 @ sec=2, msec=808
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=808
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 42 @ sec=2, msec=858
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=858
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 21 @ sec=2, msec=858
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 43 @ sec=2, msec=909
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=909
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer cycle 44 @ sec=2, msec=959
Aug  7 18:46:50 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=2, msec=959
Aug  7 18:46:50 raspberrypi seqgen2: 10HZ W1 thread release 22 @ sec=2, msec=959
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 45 @ sec=3, msec=9
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=9
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 46 @ sec=3, msec=59
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=59
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 23 @ sec=3, msec=59
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 47 @ sec=3, msec=109
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=109
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 48 @ sec=3, msec=159
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=159
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 24 @ sec=3, msec=159
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 49 @ sec=3, msec=209
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=209
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 50 @ sec=3, msec=260
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=260
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 25 @ sec=3, msec=260
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 51 @ sec=3, msec=310
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=310
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 52 @ sec=3, msec=360
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=360
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 26 @ sec=3, msec=360
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 53 @ sec=3, msec=410
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=410
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 54 @ sec=3, msec=460
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=460
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 27 @ sec=3, msec=460
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 55 @ sec=3, msec=511
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=511
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 56 @ sec=3, msec=561
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=561
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 28 @ sec=3, msec=561
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 57 @ sec=3, msec=611
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=611
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 58 @ sec=3, msec=661
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=661
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 29 @ sec=3, msec=661
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 59 @ sec=3, msec=711
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=711
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 60 @ sec=3, msec=761
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=761
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 30 @ sec=3, msec=761
Aug  7 18:46:51 raspberrypi seqgen2: 1HZ W2 release 3 @ sec=3, msec=761
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 61 @ sec=3, msec=812
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=812
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 62 @ sec=3, msec=862
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=862
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 31 @ sec=3, msec=862
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 63 @ sec=3, msec=912
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=912
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer cycle 64 @ sec=3, msec=962
Aug  7 18:46:51 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=962
Aug  7 18:46:51 raspberrypi seqgen2: 10HZ W1 thread release 32 @ sec=3, msec=962
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 65 @ sec=4, msec=12
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=12
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 66 @ sec=4, msec=62
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=62
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 33 @ sec=4, msec=62
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 67 @ sec=4, msec=113
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=113
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 68 @ sec=4, msec=163
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=163
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 34 @ sec=4, msec=163
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 69 @ sec=4, msec=213
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=213
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 70 @ sec=4, msec=263
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=263
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 35 @ sec=4, msec=263
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 71 @ sec=4, msec=313
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=313
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 72 @ sec=4, msec=363
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=363
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 36 @ sec=4, msec=363
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 73 @ sec=4, msec=414
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=414
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 74 @ sec=4, msec=464
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=464
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 37 @ sec=4, msec=464
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 75 @ sec=4, msec=514
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=514
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 76 @ sec=4, msec=564
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=564
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 38 @ sec=4, msec=564
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 77 @ sec=4, msec=614
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=614
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 78 @ sec=4, msec=664
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=664
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 39 @ sec=4, msec=665
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 79 @ sec=4, msec=715
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=715
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 80 @ sec=4, msec=765
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=765
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 40 @ sec=4, msec=765
Aug  7 18:46:52 raspberrypi seqgen2: 1HZ W2 release 4 @ sec=4, msec=765
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 81 @ sec=4, msec=815
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=815
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 82 @ sec=4, msec=865
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=865
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 41 @ sec=4, msec=865
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 83 @ sec=4, msec=915
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=915
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer cycle 84 @ sec=4, msec=965
Aug  7 18:46:52 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=965
Aug  7 18:46:52 raspberrypi seqgen2: 10HZ W1 thread release 42 @ sec=4, msec=966
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 85 @ sec=5, msec=16
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=16
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 86 @ sec=5, msec=66
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=66
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 43 @ sec=5, msec=66
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 87 @ sec=5, msec=116
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=116
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 88 @ sec=5, msec=166
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=166
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 44 @ sec=5, msec=166
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 89 @ sec=5, msec=216
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=216
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 90 @ sec=5, msec=266
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=266
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 45 @ sec=5, msec=267
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 91 @ sec=5, msec=317
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=317
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 92 @ sec=5, msec=367
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=367
